lat|lon
''52,263763''|''-1,517568''
''52,186522''|''0,038332''
''51,52817''|''-0,724197''
''54,60115''|''-1,077434''
''51,481162''|''-0,610401''
''51,719734''|''-1,188139''
''51,417014''|''-0,213582''
''52,800681''|''-2,100757''
''51,533542''|''-0,297278''
''53,447206''|''-2,988744''
''52,755009''|''-0,937187''
''53,851977''|''-1,7679''
''55,801576''|''-4,108004''
''53,26765''|''-2,53828''
''54,581341''|''-5,945084''
''53,382241''|''-1,463263''
''53,872994''|''-3,007884''
''53,191558''|''-2,893183''
''53,299311''|''-3,062765''
''51,478023''|''-0,187467''
''52,615769''|''-0,284489''
''51,909537''|''-2,083933''
''51,588583''|''-3,205859''
''52,039889''|''-2,426449''
''56,782592''|''-2,517253''
''53,868576''|''-1,918391''
''54,718807''|''-7,384869''
''53,427947''|''-0,175859''
''53,487663''|''-2,219859''
''51,563616''|''-0,32501''
''54,078318''|''-1,760374''
''52,091948''|''1,315824''
''53,417976''|''-1,435128''
''53,503177''|''-2,900506''
''51,747027''|''-0,48675''
''54,957376''|''-1,479825''
''53,433899''|''-1,350957''
''50,826334''|''-0,140818''
''54,399673''|''-7,486489''
''56,07842''|''-3,428924''
''54,6109''|''-5,957696''
''0,0''|''0,0''
''51,546176''|''-1,84265''
''53,706096''|''-1,942125''
''51,622462''|''0,04699''
''52,706456''|''-2,028744''
''51,889229''|''-4,397816''
''51,511477''|''-0,146782''
''53,534399''|''-2,957809''
''52,09168''|''-0,469804''
''55,892283''|''-3,542598''
''53,819405''|''-2,417266''
''52,542053''|''-1,874935''
''53,704985''|''-1,430975''
''53,024182''|''-2,210694''
''53,416329''|''-1,396016''
''52,213162''|''-0,286049''
''55,896977''|''-4,377598''
''51,900204''|''-0,495373''
''56,028628''|''-3,441494''
''53,003186''|''-1,443785''
''53,777568''|''-0,342924''
''51,900513''|''-0,490043''
''51,544487''|''-3,176658''
''54,889783''|''-1,526592''
''52,039318''|''0,446357''
''54,430909''|''-6,328625''
''50,724229''|''-1,849118''
''51,385218''|''1,400952''
''51,918648''|''-0,658472''
''51,80789''|''-3,821681''
''52,671754''|''0,959542''
''54,55002''|''-1,250119''
''51,522551''|''-3,212503''
''54,775188''|''-3,232162''
''52,499996''|''-1,912603''
''51,54741''|''-0,112828''
''52,060637''|''-2,709996''
''52,953681''|''-1,961125''
''50,751571''|''-3,289913''
''53,468239''|''-2,69096''
''51,627324''|''-0,391133''
''50,457169''|''-3,515323''
''50,826334''|''-0,140818''
''54,193364''|''-6,33596''
''51,585237''|''-0,329686''
''54,522974''|''-1,25392''
''51,406057''|''-0,232931''
''52,209345''|''0,148231''
''52,376665''|''1,109215''
''57,153948''|''-2,17607''
''53,083385''|''-0,827101''
''53,704209''|''-1,67331''
''54,097175''|''-3,226069''
''52,202875''|''-2,244315''
''51,220455''|''-1,441447''
''51,518554''|''-0,714794''
''51,125012''|''1,313035''
''51,622093''|''-0,13312''
''53,993272''|''-1,00271''
''50,999392''|''-1,364673''
''51,369699''|''0,577851''
''52,49259''|''-1,887221''
''51,909009''|''-1,14022''
''55,051772''|''-1,675276''
''52,330254''|''-0,073036''
''54,654367''|''-1,229925''
''52,574696''|''-1,037129''
''51,44823''|''-0,191525''
''55,935364''|''-3,190091''
''52,250538''|''0,715454''
''52,926936''|''-1,53326''
''51,163415''|''-1,766027''
''51,485167''|''-0,369035''
''51,124041''|''-0,156371''
''52,774888''|''-1,20635''
''52,390496''|''-1,960002''
''54,97833''|''-1,568814''
''51,243921''|''-1,359846''
''54,970911''|''-1,615694''
''53,413744''|''-2,959819''
''56,461653''|''-2,991362''
''58,250411''|''-6,15399''
''51,38217''|''-0,789734''
''52,122704''|''0,970048''
''53,778981''|''-0,305731''
''53,776259''|''-2,679381''
''53,918037''|''-0,93722''
''52,338927''|''-1,585206''
''53,780833''|''-1,76122''
''51,071324''|''-2,647635''
''52,036594''|''-1,859335''
''55,934464''|''-3,194818''
''51,514859''|''-0,213432''
''57,919875''|''-6,682279''
''55,861952''|''-4,263268''
''51,435889''|''-2,495003''
''54,866217''|''-1,378181''
''51,320199''|''-0,069686''
''51,901576''|''-1,140608''
''51,469932''|''-3,16898''
''51,518545''|''-0,111816''
''55,896632''|''-4,34549''
''50,821906''|''-1,0881''
''55,860839''|''-4,263683''
''53,296411''|''-3,463987''
''52,231716''|''1,49462''
''51,378068''|''-0,113291''
''50,878613''|''-1,862075''
''55,858863''|''-4,22421''
''51,654232''|''-3,023003''
''52,400227''|''-1,929893''
''51,236879''|''-2,993318''
''53,768283''|''-1,730145''
''51,317752''|''-0,555834''
''51,579019''|''0,60475''
''51,341098''|''1,316972''
''50,868112''|''-1,031279''
''52,583496''|''-2,052778''
''51,609156''|''-2,739464''
''51,396361''|''-0,048051''
''52,758887''|''-0,389771''
''53,72075''|''-0,503581''
''53,294968''|''-3,015742''
''53,744349''|''-1,769403''
''52,227988''|''0,129231''
''51,396486''|''-1,175143''
''53,730664''|''-1,581599''
''52,995911''|''-2,165338''
''53,329364''|''-1,346748''
''51,553108''|''-0,324718''
''54,218668''|''-1,575074''
''51,571436''|''-0,128471''
''50,799092''|''-0,636971''
''51,771555''|''-3,3622''
''52,072667''|''-1,934869''
''51,285442''|''-0,84142''
''55,861191''|''-4,308578''
''50,426724''|''-3,672627''
''51,731826''|''-1,20915''
''55,920321''|''-3,241204''
''51,548569''|''-1,837032''
''50,850706''|''-1,401565''
''53,587421''|''-2,40922''
''52,40995''|''-1,508132''
''51,519866''|''-0,108965''
''52,572049''|''-1,163301''
''51,532379''|''-0,12546''
''50,845553''|''-0,111743''
''51,17186''|''-1,780846''
''50,921412''|''-1,515683''
''55,160478''|''-1,602888''
''53,552259''|''-2,29281''
''51,446616''|''-0,239641''
''54,901393''|''-1,382302''
''51,549939''|''0,46233''
''51,563926''|''-3,021349''
''53,175903''|''-3,334837''
''55,957473''|''-3,168907''
''54,568778''|''-2,759038''
''51,343872''|''-2,957008''
''51,463509''|''-0,035628''
''50,848638''|''-0,007388''
''52,243059''|''0,390738''
''51,881954''|''-2,104569''
''51,66734''|''0,687553''
''50,763547''|''-3,509588''
''53,781692''|''-1,547705''
''53,537814''|''-1,559722''
''50,874774''|''-1,230306''
''51,500852''|''-0,430544''
''51,292778''|''-0,781028''
''53,551636''|''-1,482799''
''53,482597''|''-2,246022''
''0,0''|''0,0''
''52,896136''|''-1,52812''
''50,372898''|''-4,606642''
''53,599996''|''-2,331008''
''51,400487''|''-3,265825''
''51,221749''|''1,386404''
''53,782571''|''-1,594848''
''53,835418''|''-2,336996''
''52,553921''|''-1,983998''
''54,002733''|''-0,426579''
''54,972596''|''-2,103775''
''51,834288''|''-2,573681''
''55,003337''|''-3,075421''
''55,950888''|''-4,773694''
''51,556883''|''0,717855''
''51,526429''|''0,048086''
''51,62287''|''0,416692''
''51,834305''|''-0,85027''
''53,358559''|''-1,116246''
''51,649581''|''-0,42245''
''50,759266''|''-3,439962''
''51,298238''|''-0,768232''
''54,558221''|''-5,988777''
''54,291831''|''-0,432894''
''51,283858''|''-1,109469''
''51,497873''|''-0,231327''
''57,169129''|''-3,138258''
''53,546857''|''-1,84595''
''51,316552''|''-0,160388''
''53,757656''|''-1,531268''
''51,583952''|''-2,992932''
''51,979416''|''1,32361''
''53,15976''|''-1,368244''
''52,90741''|''1,076668''
''50,897389''|''-2,924248''
''53,599185''|''-2,226752''
''51,412251''|''-0,708243''
''51,891543''|''-1,13102''
''57,580252''|''-3,886''
''51,389985''|''1,42322''
''50,946977''|''-1,077855''
''55,770191''|''-2,00424''
''55,892176''|''-4,342534''
''51,456969''|''-2,523167''
''51,513209''|''-0,121635''
''54,963688''|''-1,60483''
''52,142445''|''-1,872007''
''51,984871''|''-1,704216''
''53,362325''|''-0,491026''
''51,649581''|''-0,42245''
''52,486907''|''-1,476902''
''50,9643''|''0,131172''
''55,944352''|''-3,117834''
''52,276582''|''-1,565855''
''51,381992''|''0,526313''
''51,5219''|''0,139059''
''54,861395''|''-1,572788''
''53,579554''|''-2,432887''
''52,785076''|''-0,152385''
''53,384193''|''-1,479791''
''51,850543''|''-2,199065''
''51,768064''|''0,006612''
''51,428457''|''-0,355894''
''51,604775''|''-0,068603''
''53,736144''|''-0,393571''
''52,550711''|''-1,792116''
''51,582328''|''-0,688258''
''55,855334''|''-3,134944''
''51,430108''|''-3,178665''
''51,509314''|''-0,123813''
''55,148239''|''-2,999561''
''54,884494''|''-1,425365''
''52,619972''|''1,38989''
''52,622004''|''-0,384571''
''53,390897''|''-0,343454''
''51,639484''|''-0,474602''
''54,00189''|''-1,510239''
''52,824348''|''-2,113411''
''53,343566''|''-1,525555''
''51,898086''|''-0,713383''
''54,576392''|''-1,232926''
''54,610943''|''-7,301654''
''51,707569''|''-4,951648''
''50,631784''|''-1,254386''
''53,875699''|''-1,849096''
''51,869975''|''0,808741''
''57,605303''|''-2,437739''
''51,517726''|''-0,093962''
''52,037564''|''-0,806174''
''50,361313''|''-4,057159''
''55,891419''|''-4,368958''
''53,96043''|''-1,092336''
''52,527777''|''-2,212494''
''52,029709''|''-0,475141''
''54,955634''|''-4,485049''
''50,397124''|''-4,158121''
''52,476305''|''-1,922941''
''53,450296''|''-2,742513''
''51,596538''|''-1,354037''
''51,43956''|''-0,408459''
''55,125374''|''-1,59425''
''55,973385''|''-3,254088''
''52,634725''|''-0,288491''
''57,580878''|''-1,907344''
''55,942822''|''-4,741724''
''51,965424''|''1,351914''
''56,092191''|''-3,369866''
''53,240575''|''-0,546367''
''52,568895''|''-1,9428''
''54,545749''|''-3,589031''
''51,737272''|''-0,354341''
''51,592194''|''-0,142849''
''51,74222''|''-0,497013''
''53,385906''|''-2,338394''
''53,3278''|''-1,746923''
''51,24126''|''-0,955775''
''51,430918''|''-0,130694''
''51,490052''|''-0,019895''
''52,767672''|''-0,107467''
''52,654113''|''-1,121497''
''51,130213''|''-2,995909''
''51,484907''|''-2,648881''
''51,629845''|''-0,402574''
''51,51074''|''-0,089614''
''53,686537''|''-1,626553''
''56,558052''|''-2,583718''
''51,331023''|''-0,702374''
''54,893875''|''-2,934591''
''51,505208''|''-2,688648''
''53,900367''|''-1,33631''
''52,473343''|''-1,930233''
''53,384987''|''-2,645664''
''50,677484''|''-1,141781''
''53,340903''|''-1,280532''
''53,935062''|''-1,103915''
''51,517026''|''-0,14108''
''51,363599''|''1,045217''
''51,507768''|''-0,137422''
''53,553111''|''-2,834668''
''51,611226''|''-0,006566''
''54,598297''|''-5,6835''
''57,104743''|''-2,08701''
''50,858792''|''-0,129652''
''51,805799''|''-0,022812''
''51,629048''|''-3,979699''
''53,359525''|''-2,994663''
''56,055404''|''-3,39313''
''51,004959''|''-0,737175''
''51,460725''|''-0,974799''
''51,320633''|''-1,396922''
''52,543025''|''-1,366839''
''53,515771''|''-2,204426''
''52,63412''|''-1,700859''
''55,829941''|''-4,280138''
''51,747655''|''-0,301949''
''52,437125''|''-1,465951''
''52,060637''|''-2,709996''
''51,096125''|''0,535063''
''50,932135''|''-0,996594''
''51,551188''|''0,239386''
''55,773443''|''-4,090254''
''53,320044''|''-2,665505''
''51,21457''|''-0,801678''
''51,629105''|''-0,747397''
''50,389162''|''-3,917691''
''0,0''|''0,0''
''51,507937''|''-0,139548''
''50,7279''|''-1,86358''
''53,91657''|''-2,137233''
''51,821334''|''-0,360552''
''55,643921''|''-3,105701''
''51,408226''|''0,017578''
''51,506668''|''-0,055805''
''51,968779''|''-1,382108''
''51,486355''|''-3,142136''
''52,515041''|''-1,996258''
''53,414345''|''-3,024889''
''51,487348''|''0,363897''
''52,042421''|''-0,802764''
''51,77482''|''-0,006265''
''51,450902''|''0,102244''
''57,618723''|''-2,452966''
''51,898168''|''-0,486023''
''51,372975''|''-1,606458''
''53,546967''|''-2,635089''
''51,441221''|''0,373314''
''53,353502''|''-2,734189''
''51,533491''|''-2,570582''
''51,427505''|''-0,444896''
''53,384129''|''-0,123601''
''51,801674''|''-0,805772''
''51,516384''|''-0,077818''
''51,60303''|''-3,011051''
''51,460725''|''-0,974799''
''50,912637''|''-1,301119''
''51,953613''|''-1,344294''
''50,909922''|''-2,657933''
''52,055343''|''-1,853228''
''53,028626''|''-1,477785''
''57,164311''|''-2,171969''
''52,772545''|''-1,125044''
''54,980042''|''-1,649447''
''53,787833''|''-2,243648''
''51,502049''|''-0,42654''
''51,563946''|''-0,240062''
''53,137954''|''-3,798296''
''51,564339''|''-0,457142''
''51,531102''|''-0,641474''
''51,565921''|''-0,122089''
''52,607015''|''-1,885545''
''51,234731''|''-2,997354''
''50,378922''|''-4,179167''
''51,411265''|''-0,813148''
''56,336845''|''-2,787713''
''51,401787''|''-0,653434''
''52,436718''|''-1,45168''
''51,518861''|''-0,192376''
''56,186444''|''-3,616419''
''53,904366''|''-3,032329''
''51,896766''|''-1,15051''
''52,136772''|''-0,447861''
''55,904957''|''-3,545197''
''51,590435''|''0,588556''
''51,886806''|''-2,236624''
''52,241791''|''0,157942''
''53,74982''|''-3,032403''
''51,411436''|''-0,310446''
''51,512645''|''-0,033358''
''51,67849''|''-1,431565''
''51,64688''|''-0,049135''
''53,126708''|''-0,642844''
''51,644789''|''-0,388737''
''55,957121''|''-3,21464''
''51,476455''|''0,195702''
''56,702932''|''-3,734706''
''53,410611''|''-2,840089''
''51,358498''|''-0,686661''
''52,002058''|''-0,976957''
''54,660167''|''-3,420277''
''53,05802''|''-2,515819''
''54,988953''|''-3,757205''
''50,985935''|''0,336548''
''54,909694''|''-1,372957''
''52,614754''|''-1,675786''
''53,401877''|''-1,423579''
''53,555347''|''-2,464369''
''51,460399''|''0,040173''
''51,506058''|''-0,235578''
''51,521656''|''-0,43091''
''53,404891''|''-2,989403''
''51,391933''|''-0,765359''
''52,773689''|''-1,201866''
''53,239459''|''-1,420219''
''51,532418''|''-0,725361''
''50,813507''|''-0,548932''
''55,863033''|''-4,223202''
''53,321665''|''-3,007294''
''53,377788''|''-3,065742''
''51,563475''|''-0,223113''
''51,946623''|''-0,880726''
''53,167506''|''-3,14401''
''51,58129''|''-0,157352''
''51,814762''|''-0,353522''
''51,614841''|''-3,424736''
''55,99824''|''-4,585241''
''51,513737''|''-0,40648''
''51,51104''|''-0,122646''
''51,683649''|''-4,847667''
''51,905654''|''-2,08205''
''53,34681''|''-2,102479''
''52,583512''|''-1,964905''
''51,562193''|''-0,213352''
''51,643109''|''-0,35703''
''54,662965''|''-3,364591''
''53,638122''|''-2,393997''
''56,64962''|''-3,733561''
''53,740069''|''-2,948426''
''51,937681''|''1,279763''
''51,916496''|''-0,685348''
''51,590117''|''-0,074751''
''51,516384''|''-0,988979''
''54,469226''|''-1,201111''
''53,669657''|''-1,700141''
''53,539676''|''-2,206473''
''52,714406''|''-2,435652''
''51,513183''|''0,030456''
''52,497815''|''0,041298''
''53,695092''|''-2,467997''
''52,000492''|''-0,986242''
''56,187816''|''-3,147253''
''56,122899''|''-3,937834''
''51,611833''|''-0,12694''
''51,449496''|''-0,114882''
''55,834957''|''-3,210541''
''57,291688''|''-2,392362''
''53,620258''|''-2,171551''
''52,386898''|''-1,462245''
''52,051312''|''-2,42723''
''53,549535''|''-1,315004''
''53,375826''|''-1,480058''
''51,347738''|''-2,001085''
''51,876775''|''-0,382477''
''53,435937''|''-1,360394''
''50,903298''|''-1,346921''
''54,503012''|''-7,650588''
''54,964529''|''-1,44901''
''50,739943''|''-1,7821''
''50,751972''|''-1,560512''
''51,520949''|''0,141897''
''51,457827''|''-2,390834''
''52,450642''|''1,589657''
''50,546378''|''-4,906909''
''51,474645''|''-0,045517''
''53,589377''|''-2,689884''
''53,833386''|''-1,775448''
''50,39006''|''-4,886935''
''51,005803''|''0,343105''
''51,804925''|''-0,027492''
''53,461179''|''-2,249468''
''51,458058''|''-2,62065''
''52,340537''|''-1,582931''
''51,002103''|''-4,071671''
''55,949912''|''-3,212173''
''53,498919''|''-2,070752''
''53,542743''|''-2,108489''
''51,737513''|''-0,353579''
''51,053408''|''-1,790992''
''50,967201''|''0,098104''
''51,276892''|''0,39678''
''51,99955''|''0,212834''
''52,085807''|''-0,734263''
''54,570663''|''-1,167559''
''52,532945''|''-1,682005''
''53,307085''|''-2,227676''
''53,111275''|''-2,008803''
''51,101916''|''-0,216529''
''54,644233''|''-3,517183''
''53,309058''|''-3,009998''
''51,460725''|''-0,974799''
''55,844845''|''-4,366618''
''55,295604''|''-1,82345''
''51,793952''|''-3,964075''
''53,068567''|''-3,017256''
''51,284438''|''-0,969695''
''53,828984''|''-1,732308''
''53,284018''|''-2,91695''
''51,070747''|''0,692534''
''53,424784''|''-2,321157''
''55,803118''|''-4,23118''
''51,1363''|''0,861969''
''53,807516''|''-1,540852''
''51,393391''|''-1,112168''
''51,609532''|''-0,132469''
''52,094737''|''0,480458''
''51,608839''|''-0,125103''
''54,402329''|''-2,968545''
''53,226488''|''-4,485807''
''55,185633''|''-1,552115''
''51,978347''|''-0,216398''
''51,415598''|''-0,771207''
''56,398389''|''-3,448361''
''50,365807''|''-4,084563''
''52,396737''|''-0,538728''
''52,233956''|''-0,898818''
''51,500773''|''-0,068562''
''51,46623''|''0,010748''
''51,87645''|''0,566263''
''53,024907''|''-1,456227''
''55,203985''|''-6,249666''
''51,517346''|''-0,096039''
''51,568583''|''0,109691''
''52,446294''|''-1,868364''
''51,479919''|''0,320751''
''53,095235''|''-1,374894''
''51,514155''|''-1,732133''
''50,389052''|''-3,653547''
''53,537186''|''-2,10226''
''51,787953''|''-0,183537''
''51,181544''|''1,168279''
''51,359919''|''-0,193024''
''53,571179''|''-2,365121''
''53,441487''|''-1,936537''
''54,702188''|''-1,580203''
''56,745943''|''-3,539333''
''50,831588''|''-4,544967''
''50,414636''|''-4,189378''
''54,23867''|''-0,91344''
''53,325791''|''-2,694467''
''51,875805''|''0,564077''
''54,848988''|''-1,722755''
''51,569841''|''0,648518''
''51,360016''|''-0,309768''
''54,87919''|''-1,570835''
''57,520379''|''-1,998015''
''52,757374''|''0,330718''
''53,405168''|''-3,121752''
''52,565281''|''1,665191''
''53,447227''|''-2,311178''
''50,925195''|''-1,307929''
''53,599961''|''-2,145584''
''54,602326''|''-6,714022''
''53,390459''|''-2,607073''
''53,588488''|''-2,42544''
''50,795818''|''-1,981957''
''53,877709''|''-1,27876''
''51,502014''|''-3,117358''
''53,41566''|''-2,202486''
''53,254621''|''-2,14577''
''53,332422''|''-1,338938''
''51,905432''|''-2,088627''
''51,406961''|''-3,211455''
''51,117177''|''-0,188479''
''54,390745''|''-2,980457''
''51,403878''|''-0,017451''
''51,344638''|''-2,960068''
''53,167672''|''-1,112049''
''53,244944''|''-1,448872''
''53,374655''|''-3,154275''
''51,712541''|''-1,594561''
''51,585503''|''-0,018014''
''51,242121''|''-2,303908''
''50,760757''|''-1,992873''
''51,461567''|''-0,171237''
''50,936813''|''-4,151093''
''53,456206''|''-2,848443''
''54,296414''|''-6,530428''
''51,281608''|''-0,836483''
''55,152885''|''-1,957477''
''54,531312''|''-1,064745''
''51,580604''|''-3,040947''
''52,282823''|''-1,538679''
''51,521918''|''-0,124736''
''52,580888''|''1,728149''
''51,01035''|''-1,635646''
''53,097138''|''-1,235709''
''50,389134''|''-3,918143''
''51,478671''|''-3,175381''
''55,674012''|''-4,06292''
''54,858488''|''-1,831343''
''54,858308''|''-1,83111''
''50,91774''|''-1,386722''
''52,047176''|''-0,700794''
''57,504193''|''-2,094085''
''53,467653''|''-1,323689''
''53,612323''|''-1,811537''
''53,493775''|''-3,026533''
''53,026355''|''-2,13899''
''54,659911''|''-5,674631''
''54,429357''|''-1,236985''
''55,829288''|''-4,507568''
''51,34988''|''1,038215''
''51,953229''|''0,346177''
''52,671878''|''-2,470263''
''53,422697''|''-3,069875''
''55,016129''|''-7,35503''
''51,133059''|''0,260819''
''51,330854''|''-0,766641''
''50,738382''|''-3,466078''
''50,83041''|''-0,849496''
''52,370129''|''1,30397''
''53,522459''|''-2,667453''
''51,418509''|''0,870207''
''52,114043''|''-2,077775''
''51,501017''|''0,030994''
''54,568778''|''-0,898417''
''52,184513''|''0,160843''
''53,520012''|''-1,132845''
''53,5222''|''-2,237232''
''53,521033''|''-2,652137''
''53,845952''|''-1,785929''
''51,160951''|''1,290319''
''55,807909''|''-4,297697''
''51,493871''|''-0,224164''
''50,584501''|''-4,118916''
''51,553813''|''-0,09896''
''57,693549''|''-2,008038''
''53,614714''|''-1,35945''
''52,05297''|''-1,693517''
''53,756583''|''-2,713583''
''53,64867''|''-3,003061''
''51,481162''|''-0,610401''
''53,478561''|''-2,237275''
''53,422137''|''-2,322882''
''51,572301''|''-0,605488''
''51,55092''|''-0,143449''
''51,518831''|''-0,155204''
''53,082061''|''-2,23546''
''50,934248''|''-1,508036''
''52,094763''|''-0,007593''
''51,554721''|''0,147566''
''53,759886''|''-0,372367''
''51,538068''|''-0,195797''
''52,520077''|''-1,843718''
''51,80579''|''0,213833''
''53,270442''|''-2,121114''
''53,602672''|''-2,148056''
''52,99881''|''-2,140525''
''53,769905''|''-2,705616''
''51,522388''|''-0,135629''
''51,133928''|''1,026827''
''53,812241''|''-2,21744''
''52,192411''|''-2,220603''
''52,953011''|''-0,90074''
''51,513922''|''-0,321609''
''51,861174''|''-2,544458''
''52,574779''|''-1,998112''
''51,587074''|''-0,007739''
''51,313857''|''-0,758025''
''51,26347''|''-2,1699''
''53,473055''|''-2,960691''
''53,350271''|''-3,025996''
''51,661022''|''-3,923647''
''54,907951''|''-1,523524''
''53,442174''|''-2,275341''
''51,369563''|''-0,365977''
''52,045012''|''0,754967''
''55,515176''|''-4,085397''
''52,913925''|''-1,466094''
''53,840313''|''-1,609397''
''51,632959''|''-0,099528''
''50,874526''|''-1,267206''
''51,38029''|''-2,35757''
''50,948391''|''-2,610476''
''51,598606''|''-0,119687''
''51,174144''|''-2,419527''
''51,949136''|''-0,276359''
''55,942822''|''-4,741724''
''54,647083''|''-3,551277''
''52,671355''|''-2,420272''
''52,53855''|''-1,53839''
''51,375716''|''-0,091863''
''51,228802''|''1,328727''
''53,379204''|''-1,516126''
''51,347811''|''-2,953262''
''51,574864''|''0,470258''
''55,920518''|''-4,454989''
''50,85694''|''-1,391668''
''53,626848''|''-1,78979''
''52,484178''|''-1,933323''
''51,081342''|''-4,065658''
''53,499371''|''-2,222241''
''52,696094''|''-1,62708''
''51,604009''|''-0,113976''
''54,954579''|''-6,559996''
''53,714257''|''-2,08816''
''55,881512''|''-3,548821''
''51,480657''|''-0,206719''
''53,530574''|''-1,051237''
''53,371494''|''-2,1589''
''50,475039''|''-3,522602''
''51,036524''|''-2,272453''
''53,808298''|''-3,039762''
''51,111028''|''-1,879628''
''51,291701''|''-2,309783''
''54,379135''|''-2,905601''
''52,918667''|''-3,054073''
''52,481364''|''-3,333093''
''51,803549''|''-0,20664''
''53,450024''|''-2,986161''
''51,380219''|''-0,243511''
''51,672598''|''-3,296551''
''53,69056''|''-1,867884''
''53,525288''|''-1,629827''
''51,36016''|''-0,153111''
''53,51402''|''-2,399223''
''50,546633''|''-4,155259''
''50,863925''|''-0,087312''
''51,317681''|''-0,555851''
''51,640738''|''-2,672939''
''51,717894''|''-1,162985''
''51,587604''|''-0,001364''
''51,499329''|''-3,144967''
''52,569517''|''-1,833421''
''52,320017''|''-0,374052''
''52,996402''|''-0,409359''
''55,966543''|''-3,228569''
''52,815608''|''-1,629219''
''53,564381''|''-0,109138''
''53,298664''|''-2,104028''
''51,535931''|''-0,90402''
''50,914296''|''-4,012214''
''57,143614''|''-2,111185''
''52,643967''|''0,454547''
''50,529245''|''-3,598295''
''52,199956''|''-3,988838''
''58,448569''|''-3,059983''
''51,412525''|''-0,313642''
''52,341798''|''-2,276474''
''53,780059''|''-0,26357''
''50,737453''|''-1,882329''
''51,634527''|''-2,070809''
''51,727574''|''0,480934''
''55,903472''|''-4,497156''
''51,425039''|''-0,172433''
''51,014209''|''-3,12629''
''51,497901''|''-0,387353''
''51,53192''|''-0,391341''
''50,828922''|''-0,198041''
''55,241852''|''-4,859154''
''53,353223''|''-2,803714''
''51,016859''|''-4,189159''
''50,710012''|''-3,547186''
''53,341381''|''-1,451834''
''51,398988''|''-2,344204''
''52,47938''|''-1,899127''
''55,823148''|''-4,260598''
''53,911426''|''-3,039187''
''52,83614''|''-1,285099''
''54,835368''|''-2,981337''
''54,574609''|''-1,237338''
''53,416559''|''-1,449259''
''52,457954''|''1,703322''
''57,075293''|''-2,113942''
''50,920815''|''-1,343617''
''50,377691''|''-4,134509''
''55,915667''|''-3,467056''
''53,257369''|''-3,452938''
''52,225998''|''-2,739936''
''57,438129''|''-1,823784''
''50,915168''|''-1,421892''
''53,742932''|''-2,484903''
''53,793125''|''-1,623744''
''53,921196''|''-2,188543''
''50,20069''|''-5,472623''
''52,549094''|''1,094827''
''51,762721''|''-0,305726''
''50,416926''|''-4,141735''
''52,308805''|''-1,953232''
''54,654825''|''-1,689451''
''55,772099''|''-2,002174''
''53,798264''|''-1,661665''
''51,587789''|''-0,149514''
''51,349735''|''0,733236''
''51,656689''|''-0,182939''
''53,338844''|''-1,356095''
''50,843215''|''-0,268285''
''51,534041''|''0,085684''
''54,947449''|''-1,575311''
''53,359174''|''-2,028509''
''53,026687''|''-1,208059''
''51,406269''|''0,432673''
''51,514983''|''-0,147807''
''50,750713''|''-1,862082''
''53,748219''|''-2,501887''
''51,517098''|''-0,10735''
''53,378722''|''-2,970035''
''51,547841''|''-0,479377''
''54,580964''|''-6,67343''
''51,339181''|''-0,50436''
''52,118914''|''-0,495615''
''56,469369''|''-2,968713''
''51,746365''|''-0,965798''
''51,769066''|''-1,223601''
''54,898036''|''-1,408441''
''51,246087''|''1,258202''
''54,172559''|''-2,760893''
''51,273608''|''-1,102556''
''52,486091''|''-4,05111''
''51,519026''|''-0,058075''
''50,764217''|''-3,005563''
''51,508766''|''-0,153319''
''51,5925''|''-0,243683''
''51,475661''|''-0,130353''
''51,72255''|''-1,21354''
''51,394812''|''-0,51309''
''53,214546''|''-0,612409''
''55,836702''|''-4,067537''
''51,510778''|''-0,12822''
''52,18355''|''-1,073213''
''51,275072''|''1,346414''
''51,970723''|''-0,472209''
''53,387053''|''-1,144449''
''51,455499''|''-2,568443''
''53,332802''|''-1,374326''
''51,818553''|''-0,809475''
''53,303129''|''-0,469868''
''51,432008''|''0,370807''
''51,510388''|''-0,079094''
''55,010681''|''-1,634969''
''54,858046''|''-1,591859''
''54,413566''|''-1,572008''
''51,497649''|''-0,423681''
''53,845904''|''-1,606655''
''54,937687''|''-1,392532''
''51,174757''|''0,005137''
''54,625683''|''-5,91259''
''53,487362''|''-2,227197''
''51,044873''|''-0,081068''
''51,744385''|''-3,373492''
''55,042093''|''-1,639816''
''51,511409''|''0,053825''
''53,319343''|''-3,103136''
''53,272803''|''-1,40435''
''52,043891''|''-1,675118''
''53,365518''|''-2,595914''
''51,501112''|''-0,185374''
''52,779929''|''-2,082889''
''55,080742''|''-6,063703''
''52,598277''|''1,170636''
''52,748651''|''-1,061412''
''52,409445''|''-1,953855''
''51,41948''|''-0,082292''
''52,973837''|''-0,021322''
''51,750231''|''-1,267367''
''50,910402''|''-2,889501''
''54,977925''|''-1,578849''
''52,612912''|''-1,194911''
''54,926337''|''-1,623686''
''51,264306''|''-1,098538''
''53,800131''|''-1,482114''
''54,529647''|''-6,034041''
''51,352995''|''-0,311161''
''51,387023''|''1,399867''
''52,855671''|''-3,054625''
''53,954322''|''-1,109658''
''51,230831''|''-0,333303''
''53,787572''|''-1,779001''
''51,497109''|''-0,020295''
''51,802594''|''-3,219756''
''51,45843''|''-2,574179''
''55,79996''|''-4,226898''
''51,503676''|''-0,414525''
''51,415791''|''-1,514665''
''50,717124''|''-3,474438''
''53,766897''|''-1,560035''
