lat|lon
''50,76447''|''-4,070867''
''53,529908''|''-2,110087''
''51,629589''|''0,136087''
''52,242183''|''0,75312''
''53,510725''|''-2,152636''
''51,526579''|''-0,080993''
''51,660953''|''-3,030759''
''51,565956''|''-0,122016''
''54,284321''|''-0,409799''
''52,05285''|''1,1467''
''51,594342''|''-0,320632''
''51,827614''|''0,70793''
''52,693604''|''-1,826757''
''52,407971''|''-1,57474''
''51,400948''|''0,254065''
''54,988119''|''-1,66085''
''50,910005''|''-1,827591''
''53,009075''|''-3,057558''
''51,582871''|''0,710037''
''53,700204''|''-2,706661''
''51,628817''|''-3,954837''
''51,771296''|''-1,271475''
''56,036188''|''-5,428738''
''51,634646''|''-0,465899''
''53,422244''|''-2,177553''
''50,819724''|''-1,250092''
''52,654113''|''-1,121497''
''52,675083''|''-0,303897''
''51,799574''|''0,639059''
''54,558916''|''-5,998714''
''52,126746''|''-0,463563''
''52,302349''|''-1,529164''
''53,392653''|''-2,151926''
''51,331828''|''-1,220269''
''51,566183''|''-0,121432''
''53,686042''|''-2,71828''
''51,886259''|''0,911566''
''53,229906''|''-3,426869''
''52,542246''|''-1,848246''
''51,171932''|''-0,16459''
''50,766182''|''-1,938167''
''53,216973''|''-2,895031''
''53,276579''|''-2,139667''
''52,246232''|''-0,300976''
''51,27818''|''1,307659''
''52,934545''|''-0,554663''
''50,928438''|''-1,400085''
''51,12895''|''0,431047''
''51,439137''|''-3,178538''
''50,804106''|''-0,006019''
''52,908446''|''-0,608083''
''52,635896''|''-1,129486''
''53,38057''|''-2,95357''
''52,301774''|''-0,676491''
''51,314921''|''0,892582''
''52,704694''|''-1,516823''
''50,852576''|''-0,222745''
''54,137459''|''-1,522809''
''51,506664''|''-0,126803''
''53,520462''|''-2,27247''
''58,208198''|''-6,380042''
''50,814531''|''-0,372292''
''51,62754''|''-3,979012''
''51,404199''|''-3,272627''
''52,443459''|''-1,914171''
''50,917767''|''-1,386812''
''55,184178''|''-1,514661''
''52,685591''|''1,19848''
''51,539891''|''-0,617394''
''53,431733''|''-2,009925''
''51,131871''|''-3,002339''
''53,588488''|''-2,42544''
''50,466029''|''-3,50725''
''51,514658''|''-0,470221''
''53,454762''|''-2,414102''
''53,346276''|''-1,481139''
''53,744829''|''-0,395696''
''51,530056''|''-0,117395''
''53,408066''|''-1,411792''
''51,653352''|''-3,497081''
''54,838''|''-1,539715''
''55,033246''|''-1,464903''
''55,687498''|''-3,620678''
''51,440824''|''-0,920397''
''50,386679''|''-4,074224''
